""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"
""	"ASGR2; ACKR3; SLC2A6; MEF2A; CTBP1; ITGAL; EIF2AK4; ALDH16A1; BIRC3; BNIP3L; DEFA4; EMILIN2; EIF4G3; FBXO15; GPR18; HEATR3; HBA1; HBB; HBZ; SLC47A1; C8orf82; MYL4; NANS; NAPRT; PRAM1; NDRG2; SLC25A13; SLC39A11; SAT2; SPON2; ADSS1; ZEB1; CPEB3; TMOD1; ULK2; DCAF12; ZSWIM5"	""	""	"18"	"45"	"years"	"15"	"peripheral blood mononuclear cell"	"CL:2000001"	"ASGR2; CXCR7; SLC2A6; MEF2A; CTBP1; ITGAL; EIF2AK4; ALDH16A1; BIRC3; BNIP3L; DEFA4; EMILIN2; EIF4G3; FBXO15; GPR18; HEATR3; HBA1; HBB; HBZ; FLJ10847; SLC47A1; C8orf82; MYL4; NANS; NAPRT1; PRAM1; NDRG2; SLC25A13; SLC39A11; SAT2; SPON2; ADSSL1; ZEB1; CPEB3; TMOD1; ULK2; WDR40A; ZSWIM5"	"Y"	"gene expression"	"predictive"	"CD8+ T cell response at 7d vs 0d"	"time of vaccination"	"7"	"days"	"YF-17D vaccine"	"VO:0003134"	""	"Yellow fever virus 17D"	"11090"	""	""	""	""	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"Fig 4 & Suppl Table 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf"	"Suppl Table 4: genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"38"	"38"	"6"	"363"	"19029902_6_363"
""	"BEND4; KBTBD7; TNFRSF17; TPD52"	""	""	"18"	"45"	"years"	"15"	"peripheral blood mononuclear cell"	"CL:2000001"	"BEND4; KBTBD7; TNFRSF17; TPD52"	"N"	"gene expression"	"predictive"	"neutralizing antibody response at 7d vs 0d"	"time of vaccination"	"7"	"days"	"YF-17D vaccine"	"VO:0003134"	""	"Yellow fever virus 17D"	"11090"	""	""	""	""	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"Table 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/table/T4/"	"Table 4: Genomic signatures that predict the magnitude of the neutralizing antibody responses using the DAMIP model"	"4"	"4"	"7"	"364"	"19029902_7_364"
""	"CD8A; CD14; IFITM1; IFITM3; LYN; SEC14L1; TNIP1"	""	"young/old adults (20-40)/(60-84), subgroup primary vaccination"	"20"	"84"	"years"	"21"	"whole blood"	"UBERON:0000178"	"CD8A; CD14; IFITM1; IFITM3; LYN; SEC14L1; TNIP1"	"N"	"gene expression"	"positively correlated"	"high anti-HBs concentration at week 30"	"time of vaccination"	"1"	"day"	"Twinrix"	"VO:0000113"	""	"Hepatitis B virus"	"10407"	""	""	""	"1 dose"	"29868000"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5962691/figure/F5/"	"Correlation between pre-immunization expression levels of single genes (log2-transformed) and anti-HBs concentrations (log10-transformed) at week 30 post-primary vaccination"	"7"	"7"	"1"	"365"	"29868000_1_365"
""	"IL9; TNF"	""	"young/old adults (20-40)/(60-84), subgroup primary vaccination"	"20"	"84"	"years"	"21"	"whole blood"	"UBERON:0000178"	"IL9; TNF"	"N"	"gene expression"	"negatively correlated"	"high anti-HBs concentration at week 30"	"time of vaccination"	"1"	"day"	"Twinrix"	"VO:0000113"	""	"Hepatitis B virus"	"10407"	""	""	""	"1 dose"	"29868000"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5962691/figure/F5/"	"Correlation between pre-immunization expression levels of single genes (log2-transformed) and anti-HBs concentrations (log10-transformed) at week 30 post-primary vaccination"	"2"	"2"	"2"	"366"	"29868000_2_366"
""	"CXCR5; CCR7; CD19; CD274; CTLA4; IL6"	""	"young/old adults (20-38)/(62-74), subgroup booster vaccination"	"20"	"74"	"years"	"20"	"whole blood"	"UBERON:0000178"	"BLR1; CCR7; CD19; CD274; CTLA4; IL6"	"N"	"gene expression"	"positively correlated"	"high anti-HBs concentration at week 4 post-boost"	"time of vaccination"	"1"	"day"	"Twinrix"	"VO:0000113"	""	"Hepatitis B virus"	"10407"	""	""	""	"1 dose"	"29868000"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Fig 5B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5962691/figure/F5/"	"Correlation between pre-immunization expression levels of single genes (log2-transformed) and anti-HBs concentrations (log10-transformed) at week 4 after booster vaccination"	"6"	"6"	"3"	"367"	"29868000_3_367"
""	"CISH; NLRP1; STAT1; IL7R; GATA3; CD3E; CD14; NLRP12; TNFRSF1A; TNIP1; TGFB1; TNFRSF1B; TNF; CD19; IFI44L; MARCO; TLR3; IL2; BPI; CCL19; RAB33A; IL6; NLRP2; NLRP4; SLAMF7; CXCL9; TLR9; IFI6; IFI35; GZMA; IFIT5; IL9; IL22RA1"	""	"young/old adults (20-40)/(60-84), subgroup primary vaccination"	"20"	"84"	"years"	""	"whole blood"	"UBERON:0000178"	"SOCS; NLRP1; STAT1; IL7R; GATA3; CD3E; CD14; NLRP12; TNFRSF1A; TNIP1; TGFB1; TNFRSF1B; TNF; CD19; IFI44L; MARCO; TLR3; IL2; BPI; CCL19; RAB33A; IL6; NLRP2; NLRP4; SLAMF7; CXCL9; TLR9; IFI6; IFI35; GZMA; IFIT5; IL9; IL22RA1"	"N"	"gene expression"	"correlated"	"anti-HBs concentration"	"time of vaccination"	"1"	"day"	"Twinrix"	"VO:0000113"	""	"Hepatitis B virus"	"10407"	""	""	""	"1 dose"	"29868000"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Fig 7A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5962691/figure/F7/"	"transcripts that were differentially regulated between individuals with anti-HBs concentrations of ≥10,000 and <10,000 IU/l"	"33"	"33"	"4"	"368"	"29868000_4_368"
""	"PTPRC"	""	""	"20"	"40"	"years"	"41"	"whole blood"	"UBERON:0000178"	"PTPRC"	"N"	"gene expression"	"up"	"young group vs old group (CD45RA isoform)"	"time of vaccination"	"1"	"day"	"Twinrix"	"VO:0000113"	""	"Hepatitis B virus"	"10407"	""	""	""	"1 dose"	"29868000"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Discussion"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Note - CD45RA isoform of PTPRC."	"1"	"1"	"5"	"369"	"29868000_5_369"
""	"PTPRC"	""	""	"60"	"84"	"years"	"41"	"whole blood"	"UBERON:0000178"	"PTPRC"	"N"	"gene expression"	"up"	"old group vs young group (CD45RO isoform)"	"time of vaccination"	"1"	"day"	"Twinrix"	"VO:0000113"	""	"Hepatitis B virus"	"10407"	""	""	""	"1 dose"	"29868000"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Discussion"	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"Note - CD45RO isoform of PTPRC."	"1"	"1"	"6"	"370"	"29868000_6_370"
""	"DDX17"	""	"subgroup first dose"	"21"	"64"	"years"	"84"	"whole blood"	"UBERON:0000178"	"DDX17"	"N"	"gene expression"	"down"	"21d vs 0d"	"time of vaccination"	"21"	"days"	"gH1-Qbeta virus-like particle pandemic influenza A (H1N1) 2009 vaccine (HSA CTC1300092)"	"VO:0004890"	""	"Influenza A virus (A/California/7/2009(H1N1)); Escherichia virus Qbeta"	"1316510; 39803"	"2009gH1-Qbeta"	""	""	"1 dose"	"30573748"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6301966/"	"Fig 6A, B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6301966/figure/Fig6/"	""	"1"	"1"	"1"	"371"	"30573748_1_371"
""	"DDX17"	""	"subgroup second dose"	"21"	"64"	"years"	"84"	"whole blood"	"UBERON:0000178"	"DDX17"	"N"	"gene expression"	"down"	"42d vs 0d"	"time of vaccination"	"42"	"days"	"gH1-Qbeta virus-like particle pandemic influenza A (H1N1) 2009 vaccine (HSA CTC1300092)"	"VO:0004890"	""	"Influenza A virus (A/California/7/2009(H1N1)); Escherichia virus Qbeta"	"1316510; 39803"	"2009gH1-Qbeta"	""	""	"2 doses"	"30573748"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6301966/"	"Fig 6A, B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6301966/figure/Fig6/"	""	"1"	"1"	"2"	"372"	"30573748_2_372"
""	"IGHA2; IGKC"	""	"Healthy subjects, subgroup IgAVN population"	""	""	""	""	"plasmablast"	"CL:0000980"	"IGHA2; IGKC"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"Fluarix Quadrivalent"	"VO:0000983"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Texas/50/2012(H3N2)); Influenza B virus (B/Massachusetts/02/2012); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 1321009; 1321139; 604436"	"2014qv"	""	""	""	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"Fig 4B, C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/figure/F4/"	""	"4"	"2"	"1"	"373"	"30457979_1_373"
""	"IGLJ2"	""	"Healthy subjects, subgroup IgAVP population"	""	""	""	""	"plasmablast"	"CL:0000980"	"IGLJ2"	"N"	"gene expression"	"enriched"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"Fluarix Quadrivalent"	"VO:0000983"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Texas/50/2012(H3N2)); Influenza B virus (B/Massachusetts/02/2012); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 1321009; 1321139; 604436"	"2014qv"	""	""	""	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"Fig 4B, C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/figure/F4/"	""	"1"	"1"	"2"	"374"	"30457979_2_374"
""	"KIR2DL3"	""	"adults (18-40), subgroup 1-48 months after smallpox vaccination"	"18"	"40"	"years"	"44"	"peripheral blood mononuclear cell"	"CL:2000001"	"KIR2DL3"	"N"	"gene expression"	"down"	"high responders after vs before stimulation"	"vaccinia virus stimulation"	"8"	"hours"	"Dryvax; Vaccinia virus"	"VO:0000035; VO:0000433"	"Vaccinia virus challenge"	"Variola virus"	"10255"	""	""	""	"1 dose"	"23594957"	"2013"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"Discussion: Individual Genes - Interaction"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"KIR2DL3 gene was expressed at a significantly lower level in high responders and downregulated upon vaccinia stimulation; whereas low responders had higher baseline levels that increased upon viral stimulation."	"1"	"1"	"9"	"375"	"23594957_9_375"
""	"KIR2DL3"	""	"subgroup 1-48 months after smallpox vaccination"	"18"	"40"	"years"	"44"	"peripheral blood mononuclear cell"	"CL:2000001"	"KIR2DL3"	"N"	"gene expression"	"up"	"low responders after vs before stimulation"	"vaccinia virus stimulation"	"8"	"hours"	"Dryvax; Vaccinia virus"	"VO:0000035; VO:0000433"	"Vaccinia virus challenge"	"Variola virus"	"10255"	""	""	""	"1 dose"	"23594957"	"2013"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"Discussion: Individual Genes - Interaction"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"KIR2DL3 gene was expressed at a significantly lower level in high responders and downregulated upon vaccinia stimulation; whereas low responders had higher baseline levels that increased upon viral stimulation."	"1"	"1"	"10"	"376"	"23594957_10_376"
""	"UNC13A"	""	"subgroup 1-48 months after smallpox vaccination"	"18"	"40"	"years"	"44"	"peripheral blood mononuclear cell"	"CL:2000001"	"UNC13A"	"N"	"gene expression"	"down"	"high responders after vs before stimulation"	"vaccinia virus stimulation"	"8"	"hours"	"Dryvax; Vaccinia virus"	"VO:0000035; VO:0000433"	"Vaccinia virus challenge"	"Variola virus"	"10255"	""	""	""	"1 dose"	"23594957"	"2013"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"Discussion: Individual Genes - Interaction"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"UNC13A expression levels were initiatlly lower in high responders and decreased 20% upon viral stimulation. Low responders background levels were initially high and showed a dramatic decrease (~45%) upon stimulation (p = 2.96 x 10-5)"	"1"	"1"	"11"	"377"	"23594957_11_377"
""	"MOXD1; STAP1; PAWR; PTPRK; CD40; DPF3; FCRL5; CD19; NIBAN3; SPIB; BLNK; CDCA7L; TSPAN13; KHDRBS2; NXPH4; RALGPS2; CD22; FCRL2; ADD2; TCL6"	""	""	"50"	"74"	"years"	"135"	"peripheral blood mononuclear cell"	"CL:2000001"	"MOXD1; STAP1; PAWR; PTPRK; CD40; DPF3; FCRL5; CD19; FAM129C; SPIB; BLNK; CDCA7L; TSPAN13; KHDRBS2; NXPH4; RALGPS2; CD22; FCRL2; ADD2; TCL6"	"N"	"gene expression"	"up"	"females vs males"	"time of vaccination"	"0"	"days"	"Fluarix"	"VO:0000045"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"Table 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/table/T2/"	"Caucasian adults (50-74); See Suppl Table 6 for full DE gene list"	"20"	"20"	"1"	"378"	"30873150_1_378"
""	"MOXD1; STAP1; PAWR; PTPRK; CD40; DPF3; FCRL5; CD19; NIBAN3; SPIB; BLNK; CDCA7L; TSPAN13; KHDRBS2; NXPH4; RALGPS2; CD22; FCRL2; ADD2; TCL6"	""	""	"50"	"74"	"years"	"135"	"peripheral blood mononuclear cell"	"CL:2000001"	"MOXD1; STAP1; PAWR; PTPRK; CD40; DPF3; FCRL5; CD19; FAM129C; SPIB; BLNK; CDCA7L; TSPAN13; KHDRBS2; NXPH4; RALGPS2; CD22; FCRL2; ADD2; TCL6"	"N"	"gene expression"	"up"	"females vs males"	"time of vaccination"	"3"	"days"	"Fluarix"	"VO:0000045"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"Table 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/table/T2/"	"Caucasian adults (50-74); See Suppl Table 6 for full DE gene list"	"20"	"20"	"2"	"379"	"30873150_2_379"
""	"MOXD1; STAP1; PAWR; PTPRK; CD40; DPF3; FCRL5; CD19; NIBAN3; SPIB; BLNK; CDCA7L; TSPAN13; KHDRBS2; NXPH4; RALGPS2; CD22; FCRL2; ADD2; TCL6"	""	""	"50"	"74"	"years"	"135"	"peripheral blood mononuclear cell"	"CL:2000001"	"MOXD1; STAP1; PAWR; PTPRK; CD40; DPF3; FCRL5; CD19; FAM129C; SPIB; BLNK; CDCA7L; TSPAN13; KHDRBS2; NXPH4; RALGPS2; CD22; FCRL2; ADD2; TCL6"	"N"	"gene expression"	"up"	"females vs males"	"time of vaccination"	"28"	"days"	"Fluarix"	"VO:0000045"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"Table 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/table/T2/"	"Caucasian adults (50-74); See Suppl Table 6 for full DE gene list"	"20"	"20"	"3"	"380"	"30873150_3_380"
""	"MAZ; TTF2; GSTM1; GSTM2; SMS; CA11; CA14; CA2; CA6"	""	"subgroup in common with both HAI and VNA"	"50"	"74"	"years"	"159"	"peripheral blood mononuclear cell"	"CL:2000001"	"MAZ; TTF2; GSTM1; GSTM2; SMS; CA11; CA14; CA2; CA6"	"Y"	"gene expression"	"down"	"28d vs 0d"	"time of vaccination"	"28"	"days"	"Fluarix"	"VO:0000045"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	"intramuscular"	"1 dose"	"27534615"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/table/T1/"	"Common Genesets with genes entering regression models for HAI and VNA Responses with the log2 Day 28 vs Day 0 fold-change in gene expression as the explanatory variables."	"9"	"9"	"1"	"381"	"27534615_1_381"
""	"SUPT16H; UPF1; MAT2A; RABGGTA; CA8; IFNG; DOP1B"	""	"subgroup in common with both HAI and VNA"	"50"	"74"	"years"	"159"	"peripheral blood mononuclear cell"	"CL:2000001"	"SUPT16H; UPF1; MAT2A; RABGGTA; CA8; IFNG; DOPEY2"	"Y"	"gene expression"	"up"	"28d vs 0d"	"time of vaccination"	"28"	"days"	"Fluarix"	"VO:0000045"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	"intramuscular"	"1 dose"	"27534615"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/table/T1/"	"Common Genesets with genes entering regression models for HAI and VNA Responses with the log2 Day 28 vs Day 0 fold-change in gene expression as the explanatory variables."	"7"	"7"	"2"	"382"	"27534615_2_382"
""	"MAN1B1; POLL; CEBPG; FOXP3; IL12A; NEIL1; PARP2; ELOVL7; ADGRB1; TAPT1; CS; GSTM3; RAD51B; RAD54B; REC8; STAG3; CRHBP; DLG4"	""	"subgroup in common with both HAI and VNA"	"50"	"74"	"years"	"159"	"peripheral blood mononuclear cell"	"CL:2000001"	"MAN1B1; POLL; CEBPG; FOXP3; IL12A; NEIL1; PARP2; ELOVL7; BAI1; TAPT1; CS; GSTM3; RAD51B; RAD54B; REC8; STAG3; CRHBP; DLG4"	"Y"	"gene expression"	"down"	"28d vs 3d"	"time of vaccination"	"28"	"days"	"Fluarix"	"VO:0000045"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	"intramuscular"	"1 dose"	"27534615"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"Table 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/table/T2/"	"Common Genesets with genes entering regression models for HAI and VNA Responses, withlog2 Day 28 vs Day 3 fold-change in gene expression as the explanatory variables"	"20"	"18"	"3"	"383"	"27534615_3_383"
""	"EBI3; INHBA; TLR3; TLR7; TLR9; LIG3; SMUG1; ACSL1; ACSL5; FASN; HSD17B12; SLC25A1; ACO2; FH; IDH2; OGDH; SDHA; SUCLA2; TUBG1; ACSL4; FYN; GALR2; NF1; S100B; VLDLR"	""	"subgroup in common with both HAI and VNA"	"50"	"74"	"years"	"159"	"peripheral blood mononuclear cell"	"CL:2000001"	"EBI3; INHBA; TLR3; TLR7; TLR9; LIG3; SMUG1; ACSL1; ACSL5; FASN; HSD17B12; SLC25A1; ACO2; FH; IDH2; OGDH; SDHA; SUCLA2; TUBG1; ACSL4; FYN; GALR2; NF1; S100B; VLDLR"	"Y"	"gene expression"	"up"	"28d vs 3d"	"time of vaccination"	"28"	"days"	"Fluarix"	"VO:0000045"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	"intramuscular"	"1 dose"	"27534615"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"Table 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/table/T2/"	"Common Genesets with genes entering regression models for HAI and VNA Responses, withlog2 Day 28 vs Day 3 fold-change in gene expression as the explanatory variables"	"26"	"25"	"4"	"384"	"27534615_4_384"
""	"CACNA1I; MFGE8; HSPG2; NRCAM; COL5A3; SYT17; NOG; STYK1; ADAMTS7; TPBG; ZNF890P; MIR635; DPEP3; LMO7-AS1; MMP15; HEATR9; ATG9B; TRBJ2-4; TNNC1; OCM; COL5A1; ATP13A4; NDRG4; TRIM74; SHANK1; LINC00612; SPRY1; KCNJ5-AS1; C2orf27A; GSDMA; IL23R; FXYD2; SPRY2; CHD5; CYP4F12"	""	""	"19"	"39"	"years"	"20"	"peripheral blood mononuclear cell"	"CL:2000001"	"CACNA1I; MFGE8; HSPG2; NRCAM; COL5A3; SYT17; NOG; STYK1; ADAMTS7; TPBG; ZNF890P; MIR635; DPEP3; LMO7-AS1; MMP15; C17orf66; ATG9B; TRBJ2-4; TNNC1; OCM; COL5A1; ATP13A4; NDRG4; TRIM74; SHANK1; C12orf33; SPRY1; C11orf45; C2orf27A; GSDMA; IL23R; FXYD2; SPRY2; CHD5; CYP4F12"	"N"	"gene expression"	"down"	"vaccinated with AS03 adjuvant vs phosphate-bufferred saline"	"time of vaccination"	"1"	"day"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO:0004903"	""	"Influenza A virus (A/Indonesia/5/2005(H5N1))"	"400788"	"2005mv"	"AS03 (VO:0001320)"	"intramuscular"	""	"30566602"	"2019"	"https://academic.oup.com/jid/article/219/11/1786/5253567"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6500554/bin/jiy721_suppl_supplementary_table_1a.xlsx"	""	"53"	"35"	"1"	"385"	"30566602_1_385"
