original_annotation	CL_term	CL_ID	PRO_term_w_intensity	PRO_ID	extra	comments
IL-1beta+ classical monocytes	classical monocyte	CL_0000860	IL1B+	PR:000001136		
IL-1beta+ intermediate monocytes	intermediate monocyte	CL_0002393	IL1B+	PR:000001136		
IL-1beta+ non-classical monocytes	non-classical monocyte	CL_0000875	IL1B+	PR:000001136		
CD19+ CD45+ B cell	b cell	CL_0000236				
CD21-low transitional B cell	transitional stage b cell	CL_0000818	CD21+-	PR:000001338		
DN2 B cell	double negative memory b cell	CL_0000981	"CXCR5-,CD21-"	"PR:000001209,PR:000001338"		
usM B cells	unswitched memory b cell	CL_0000970				
aN naive B cell	naive b cell	CL_0000788			activated naive B cell	
antibody-secreting cell	antibody secreting cell	CL_0000946				
transitional B cell	transitional stage b cell	CL_0000818				
DN3 B cell	double negative memory b cell	CL_0000981	"CD21-,CD11C-"	"PR:000001338,PR:000001013"		
DN1 B cell	double negative memory b cell	CL_0000981	"CD21+,CD11C-"	"PR:000001338,PR:000001013"		
uSM B cells	unswitched memory b cell	CL_0000970				
CD14+ CD16++ non-classical monocytes	"cd14-positive, cd16-positive monocyte"	CL_0002397				
CD3+ T cells of lymphocytes	t cell	CL_0000084				
CD4+ T cells of CD3+ cells	"cd4-positive, alpha-beta t cell"	CL_0000624				
CD8+ T cells of CD3+ cells	"cd8-positive, alpha-beta t cell"	CL_0000625				
CD4+ HLADR+ T cells of CD4+ T cells	"activated cd4-positive, alpha-beta t cell"	CL_0000896	HLADRA+	PR:000002015		
CD8+ HLADR+ T cells of CD8+ T cells	"activated cd4-positive, alpha-beta t cell"	CL_0000896	HLADRA+	PR:000002015		
CD31+ CD45RA+ CCR7+ CD4+ T cells	"naive thymus-derived cd4-positive, alpha-beta t cell"	CL_0000895	"CD31+,CD45RA+,CCR7+"	"PR:000001904,PR:000001015,PR:000001203"		
CD31- CD45RA+ CCR7+ CD4+ T cells	"naive thymus-derived cd4-positive, alpha-beta t cell"	CL_0000895	"CD31-,CD45RA+,CCR7+"	"PR:000001904,PR:000001015,PR:000001203"		
CD31+ CD45RA+ CCR7+ CD8+ T cells	"naive thymus-derived cd8-positive, alpha-beta t cell"	CL_0000900	"CD31+,CD45RA+,CCR7+"	"PR:000001904,PR:000001015,PR:000001203"		
CD31- CD45RA+ CCR7+ CD8+ T cells	"naive thymus-derived cd8-positive, alpha-beta t cell"	CL_0000900	"CD31-,CD45RA+,CCR7+"	"PR:000001904,PR:000001015,PR:000001203"		
CD3+ CCR7- CD45RA+ CD4+ (TEMRA) T cells	"effector memory cd4-positive, alpha-beta t cell, terminally differentiated"	CL_0001087	"CD45RA+,CCR7-"	"PR:000001015,PR:000001203"		
CD3+ CCR7- CD45RA+ CD8+ (TEMRA) T cells	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated"	CL_0001062	"CD45RA+,CCR7-"	"PR:000001015,PR:000001203"		
B cells of lymphocytes	b cell	CL_0000236				
CD24- CD27++ CD38++ plasmablasts of B cells	plasmablast	CL_0000980	"CD27++,CD38++,CD24-"	"PR:000001963,PR:000001408,PR:000001932"		
memory B cells of B cells	memory b cell	CL_0000787				
IgM+ cells of CD27+ memory B cells	unswitched memory b cell	CL_0000970	"CD27+,IGM+"	"PR:000001963,PR:000050257"		
IgM- (switched) cells of CD27+ memory B cells	class switched memory b cell	CL_0000972	"CD27+,IGM-"	"PR:000001963,PR:000050257"		
IgG+ cells of memory B cells	class switched memory b cell	CL_0000972	IGG+	PR:000050252		
IgG- IgM- cells of memory B cells	class switched memory b cell	CL_0000972	"IGM-,IGG-"	"PR:000050257,PR:000050252"		
activated (HLA-DR+ CD38+) CD4+ T cells	"activated cd4-positive, alpha-beta t cell"	CL_0000896	"HLADRA+,CD38+"	"PR:000002015,PR:000001408"		
PD1+ CD4+ T cells	"cd4-positive, alpha-beta t cell"	CL_0000624	PD1+	PR:000001919		
regulatory (CD127- CD25+) CD4+ T cells	"cd4-positive, cd25-positive, alpha-beta regulatory t cell"	CL_0000792	"CD127-,CD25+"	"PR:000001869,PR:000001380"		
exhausted/senescent (CD57+ PD1+) CD4+ T cells	exhausted t cell	CL_0011025	"CD57+,PD1+"	"PR:000001440,PR:000001919"		
(CCR7+ CD45RA+ CD28+ CD27+) naive CD4+ T cells	"naive thymus-derived cd4-positive, alpha-beta t cell"	CL_0000895	"CCR7+,CD45RA+,CD28+,CD27+"	"PR:000001203,PR:000001015,PR:000001841,PR:000001963"		
central memory (CCR7- CD45RA+ CD28+ CD27+-) CD4+ T cells	"central memory cd4-positive, alpha-beta t cell"	CL_0000904	"CCR7-,CD45RA+,CD28+,CD27+-"	"PR:000001203,PR:000001015,PR:000001841,PR:000001963"		
effector memory (CCR7- CD45RA- CD28+- CD27+-) CD4+ T cells	"effector memory cd4-positive, alpha-beta t cell"	CL_0000905	"CCR7-,CD45RA-,CD28+-,CD27+-"	"PR:000001203,PR:000001015,PR:000001841,PR:000001963"		
terminal effector (CCR7- CD45RA+ CD28- CD27+-) CD4+ T cells	"effector memory cd4-positive, alpha-beta t cell, terminally differentiated"	CL_0001087	"CCR7-,CD45RA+,CD28-,CD27+-"	"PR:000001203,PR:000001015,PR:000001841,PR:000001963"		
naive CD4+ T regulatory cells	naive regulatory t cell	CL_0002677	CD4+	PR:000001004		
central memory CD4+ T regulatory cells	"activated cd4-positive, alpha-beta t cell, human"	CL_0001043	CD4+	PR:000001004	central memory CD4+ T regulatory cells	
PD1+ effector memory CD4+ T cells	"effector memory cd4-positive, alpha-beta t cell"	CL_0000905	PD1+	PR:000001919		
PD1+ activated (HLA-DR+ CD38+) central memory CD4+ T cells	"activated cd4-positive, alpha-beta t cell, human"	CL_0001043	"PD1+,HLADRA+,CD38+"	"PR:000001919,PR:000002015,PR:000001408"	central memory CD4+ T cells	
CD38+ central memory CD4+ T cells	"central memory cd4-positive, alpha-beta t cell"	CL_0000904	CD38+	PR:000001408		
CCR6+ CD4+ T cells	"cd4-positive, alpha-beta t cell"	CL_0000624	CCR6+	PR:000001202		
CXCR3+ CD4+ T cells	"cd4-positive, alpha-beta t cell"	CL_0000624	CXCR3+	PR:000001207		
CCR6+ CD161+ CD4+ T cells	"cd4-positive, alpha-beta t cell"	CL_0000624	"CD161+,CCR6+"	"PR:000025670,PR:000001202"		
CXCR4+ CD4+ T cells	"cd4-positive, alpha-beta t cell"	CL_0000624	CXCR4+	PR:000001208		
naive (CCR7+ CD45RA+ CD28+ CD27+) CD8+ T cells	"naive thymus-derived cd8-positive, alpha-beta t cell"	CL_0000900	"CCR7+,CD45RA+,CD28+,CD27+"	"PR:000001203,PR:000001015,PR:000001841,PR:000001963"		
