""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"exposure_material_id_1"	"exposure_material_id_2"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"	"target_pathogen_taxonid_4"	"target_pathogen_taxonid_5"	"target_pathogen_taxonid_6"	"target_pathogen_taxonid_7"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CDK17"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CDK17"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"RAB30"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"RAB30"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CD28"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD28"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CD3G"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD3G"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"GNB5"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"GNB5"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"KCNA3"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"KCNA3"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"SLC4A7"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SLC4A7"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CDC14B"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CDC14B"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"TUBB1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"TUBB1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"TTC3"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"TTC3"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"SRSF6"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SFRS6"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"ATRX"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"ATRX"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"PPIG"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PPIG"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"TUBB6"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"TUBB6"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CETN2"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CETN2"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"TNPO1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"TNPO1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"SMC3"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SMC3"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"ISCA1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"ISCA1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"ATP2B1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"ATP2B1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"SNRK"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SNRK"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CDR2"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CDR2"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CIR1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CIR1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"HSF2"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"HSF2"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CBLB"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CBLB"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"APBA2"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"APBA2"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"PRKCQ"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PRKCQ"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"WTAP"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"WTAP"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
