"X."	"tissue_type"	"response_component_original"	"response_comp_orig_cnt"	"response_component"	"response_comp_cnt"	"cell_ontology_id"	"pro_ontology_id"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"adjuvant"	"route"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"short_comment"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"row_key"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	"years"	"7"	"73"	"26682988_7_73"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"8"	"74"	"26682988_8_74"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"3d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"9"	"75"	"26682988_9_75"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"14d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"10"	"76"	"26682988_10_76"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"11"	"77"	"26682988_11_77"
""	"peripheral blood mononuclear cell"	"CD56++ NK cells; CD56++ CD16+ NK cells"	"2"	"natural killer cell & CD56++; natural killer cell & CD56++, CD16+"	"2"	"CL_0000623"	"PR:000001024"	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"7d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"12"	"78"	"26682988_12_78"
""	"peripheral blood mononuclear cell"	"CD56dim CD16++ NK cells; Natural Killer cells"	"2"	"CD16-positive, CD56-dim natural killer cell, human & CD16++; natural killer cell"	"2"	"CL_0000939"	"PR_000001483"	"cell type frequency"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1 vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig 5A&C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"13"	"79"	"26682988_13_79"
""	"peripheral blood mononuclear cell"	"CD56++ NK cells; CD56++ CD16+ NK cells"	"2"	"natural killer cell & CD56++; natural killer cell & CD56++, CD16+"	"2"	"CL_0000623"	"PR:000001024"	"cell type frequency"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"14"	"80"	"26682988_14_80"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"15"	"81"	"26682988_15_81"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"16"	"82"	"26682988_16_82"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"7d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"17"	"83"	"26682988_17_83"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"7d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"18"	"84"	"26682988_18_84"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	""	"19"	"85"	"26682988_19_85"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	""	"20"	"86"	"26682988_20_86"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	""	"21"	"87"	"26682988_21_87"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	""	"22"	"88"	"26682988_22_88"
""	"peripheral blood mononuclear cell"	"monocytes"	"1"	"monocyte"	"1"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	""	"23"	"89"	"26682988_23_89"
""	"peripheral blood mononuclear cell"	"CD14+ CD16- monocytes"	"1"	"CD14-positive, CD16-negative classical monocyte"	"1"	"CL_0002057"	""	"cell type frequency"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"3d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig S6C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"24"	"90"	"26682988_24_90"
""	"peripheral blood mononuclear cell"	"CD14+ CD16+ monocytes"	"1"	"CD14-positive, CD16-positive monocyte"	"1"	"CL_0002397"	""	"cell type frequency"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig S6C"	" https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"25"	"91"	"26682988_25_91"
""	"peripheral blood mononuclear cell"	"CD56++ CD16+ natural killer (NK) cells"	"1"	"natural killer cell & CD56++, CD16+"	"1"	"CL_0000623"	"PR_000001024, PR_000001483"	"cell type frequency"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"26"	"92"	"26682988_26_92"
""	"peripheral blood mononuclear cell"	"CD14dim CD16++ monocytes"	"1"	"CD14-low, CD16-positive monocyte & CD14-dim, CD16++"	"1"	"CL_0002396"	"PR:000001889, PR_000001483"	"cell type frequency"	"up"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"3d vs 0d"	"adults (<65yrs)"	""	""	"26682988"	"2015"	"Fig S6C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults"	""	"65"	"years"	"27"	"93"	"26682988_27_93"
""	"peripheral blood mononuclear cell"	"CD14+ CD16- monocytes"	"1"	"CD14-positive, CD16-negative classical monocyte"	"1"	"CL_0002057"	""	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"14d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"28"	"94"	"26682988_28_94"
""	"peripheral blood mononuclear cell"	"CD14+ CD16+ monocytes"	"1"	"CD14-positive, CD16-positive monocyte"	"1"	"CL_0002397"	""	"cell type frequency"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"14d vs 0d"	"seniors (>65yrs)"	""	""	"26682988"	"2015"	"Fig S6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"seniors"	"65"	""	"years"	"29"	"95"	"26682988_29_95"
""	"peripheral blood mononuclear cell"	"activated CD4+ T cells"	"1"	"activated CD4-positive, alpha-beta T cell"	"1"	"CL_0000896"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"high vs low inositol phosphate metabolism"	"adults (25-40/60-79)"	""	""	"28502771"	"2017"	"Fig 7F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/figure/F7/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/"	"adults, seniors"	"25"	"79"	"years"	"1"	"96"	"28502771_1_96"
""	"peripheral blood mononuclear cell"	"neutrophil"	"1"	"neutrophil"	"1"	"CL_0000775"	""	"cell type frequency"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"high vs low inositol phosphate metabolism"	"adults (25-40/60-79)"	""	""	"28502771"	"2017"	"Fig 7F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/figure/F7/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/"	"adults, seniors"	"25"	"79"	"years"	"2"	"97"	"28502771_2_97"
""	"peripheral blood mononuclear cell"	"VZV antigen-reactive CD4 T cells"	"1"	"CD4-positive, alpha-beta T cell & VZV antigen-reactive"	"1"	"CL_0000624"	""	"cell type frequency"	"up"	"none"	"8"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"8d vs 0d"	"seniors (52-75)"	""	""	"27030598"	"2016"	"text right before Fig 3, Fig 3a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/figure/F3/"	"Influence of vaccination on the CD4 T cell receptor repertoire of VZV-reactive cells"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/"	"adults, seniors"	"52"	"75"	"years"	"1"	"98"	"27030598_1_98"
""	"peripheral blood mononuclear cell"	"VZV antigen-reactive CD4 T cells"	"1"	"CD4-positive, alpha-beta T cell & VZV antigen-reactive"	"1"	"CL_0000624"	""	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"14d vs 0d"	"seniors (52-75)"	""	""	"27030598"	"2016"	"text right before Fig 3, Fig 3a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/figure/F3/"	"Influence of vaccination on the CD4 T cell receptor repertoire of VZV-reactive cells"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/"	"adults, seniors"	"52"	"75"	"years"	"2"	"99"	"27030598_2_99"
""	"peripheral blood mononuclear cell"	"VZV antigen-reactive CD4 T cells"	"1"	"CD4-positive, alpha-beta T cell & VZV antigen-reactive"	"1"	"CL_0000624"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"28d vs 0d"	"seniors (52-75)"	""	""	"27030598"	"2016"	"text right before Fig 3, Fig 3a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/figure/F3/"	"Influence of vaccination on the CD4 T cell receptor repertoire of VZV-reactive cells"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/"	"adults, seniors"	"52"	"75"	"years"	"3"	"100"	"27030598_3_100"
""	"blood"	"white blood cell"	"1"	"leukocyte"	"1"	"CL_0000738"	""	"cell type frequency"	"up"	"males in group 2 (4mo: HBV & OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines)"	"28"	"Days"	"time of vaccination (first dose)"	"measles virus strain Edmonston-Zagreb; corynebacterium diphtheriae; clostridium tetani; human poliovirus 1; human poliovirus 2; human poliovirus 3"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654; VO_0000738"	""	"group 2 (4mo: HBV & OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines) vs groups 1 (4mo: 3rd dose of DTP, HBV, OPV. 9mo: 1 i.m dose of MV Edmonstron Zagreb strain. 11mo: outstanding vaccines) & 3 (4mo: HBV & OPV. 9mo: DTP. 11mo: outstanding vaccines) "	"infants (4mo)"	""	""	"27436422"	"2016"	"Table 1"	"https://academic.oup.com/view-large/78928196"	""	""	"https://academic.oup.com/cid/article/63/9/1213/2576500"	"infants"	"4"	"4"	"months"	"1"	"101"	"27436422_1_101"
""	"blood"	"lymphocyte"	"1"	"lymphocyte"	"1"	"CL_0000542"	""	"cell type frequency"	"down"	"males in group 2 (4mo: HBV & OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines)"	"28"	"Days"	"time of vaccination (first dose)"	"measles virus strain Edmonston-Zagreb; corynebacterium diphtheriae; clostridium tetani; human poliovirus 1; human poliovirus 2; human poliovirus 3"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654; VO_0000738"	""	"group 2 (4mo: HBV & OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines) vs groups 1 (4mo: 3rd dose of DTP, HBV, OPV. 9mo: 1 i.m dose of MV Edmonstron Zagreb strain. 11mo: outstanding vaccines) & 3 (4mo: HBV & OPV. 9mo: DTP. 11mo: outstanding vaccines) "	"infants (4mo)"	""	""	"27436422"	"2016"	"Table 1"	"https://academic.oup.com/view-large/78928196"	""	""	"https://academic.oup.com/cid/article/63/9/1213/2576500"	"infants"	"4"	"4"	"months"	"2"	"102"	"27436422_2_102"
""	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell; NK Cells (CD14-/CD19-/CD3-/NK/CD107A+/K562); NK Cells (CD14-/CD19-/CD3-/NK/IFNg+/K562); NK Cells (CD14-/CD19-/CD3-/NK/TNFa+/K562)"	"4"	"plasmacytoid dendritic cell; natural killer cell & CD14-, CD19-, CD3-, CD107a+, K562 cells; natural killer cell & CD14-, CD19-, CD3-, IFNG+, K562 cells; natural killer cell & CD14-, CD19-, CD3-, TNF-a+, K562 cells"	"4"	"CL_0000784"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 4g-i"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"1"	"103"	"28687661_1_103"
""	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK); NK cells (CD14-/CD20-/CD3-/NK/NKG2A+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)"	"3"	"natural killer cell & CD14-, CD20-, CD3-; NKGA2-positive natural killer cell & CD14-, CD20-, CD3-; natural killer cell & CD14-, CD20-, CD3-, NKG2-A/B-activating NK receptor+"	"3"	"CL_0000623"	"PR:000001889, PR:000001289, PR:000001020"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 4d-f"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"2"	"104"	"28687661_2_104"
""	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+/IgD-IgM-/CD27+; T cells CD3+/CD4+/CD28+; T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/CD28+; T cells CD3+/CD8+/Ki67+"	"5"	"B cell & CD3-, CD19+, CD20+, CD27+, IgD-, IgM-; CD4-positive, alpha-beta T cell & CD3+, CD28+; CD4-positive, alpha-beta T cell & CD3+, pKI-67+; CD8-positive, alpha-beta T cell & CD3+, CD28+; CD8-positive, alpha-beta T cell & CD3+, pKI-67+"	"5"	"CL_0000236"	"PR:000001020, PR_000001002, PR:000001289, PR:000001963"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 5d-h"	" https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"3"	"105"	"28687661_3_105"
""	"peripheral blood mononuclear cell"	"Monocytes (CD14+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)"	"2"	"CD14-positive monocyte; natural killer cell & CD14-, CD20-, CD3-, NKG2-A/B-activating NK receptor+"	"2"	"CL_0001054"	""	"cell type frequency"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 4a, Fig 4f, "	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"4"	"106"	"28687661_4_106"
""	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/Ki67+"	"2"	"CD4-positive, alpha-beta T cell & CD3+, pKI-67+; CD8-positive, alpha-beta T cell & CD3+, pKI-67+"	"2"	"CL_0000624"	"PR:000001020, PR:000029630"	"cell type frequency"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d vs 0d"	"adults (25-42)"	""	""	"28687661"	"2017"	"Fig 5f, Fig 5h"	" https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/"	"adults"	"25"	"42"	"years"	"5"	"107"	"28687661_5_107"
