	submission_name	submission_date	second_spot_check	spot_check	template_name	tissue_type	tissue_type_term_id	response_component	response_behavior_type	response_behavior	subgroup	time_point	time_point_units	baseline_time	target_pathogen	target_pathogen_taxonid	vaccine_year	exposure_material_text	exposure_material	additional_exposure_material	Group1	addntl_time_point_units	Group0	comparison	number_subjects	cohort	adjuvant	route	scheduling	publication_reference	publication_year	signature_source	signature_source_url	comments	short_comment	process_note	publication_reference_url	age_group	age_min	age_max	age_units	extra_comments
			daniel: split row on source	Daniel: added source, edited time point & comparison.		peripheral blood mononuclear cell	CL:2000001	DC (NK-/CD123)	cell type frequency	up for	none	86	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					86d vs 0d		adults (25-42)				28687661	2017	Fig 4C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/ 				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split row on source	Daniel: added source, edited time point & comparison.		peripheral blood mononuclear cell	CL:2000001	B cells CD3-/CD19+CD20+; B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+; B cells CD3-/CD19+CD20+/IgD-IgM-/CD27+; T cells CD14-/CD3+/CD4+/IL2+/NS1	cell type frequency	up for	none	86	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					86d vs 0d		adults (25-42)				28687661	2017	Fig 5A, 5C, 5D, 5I	 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split row on source	Daniel: added source, edited time point & comparison, edited response agent		peripheral blood mononuclear cell	CL:2000001	NK cells (CD14-/CD20-/CD3-/NK); NK cells (CD14-/CD20-/CD3-/NK/NKG2A+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)	cell type frequency	down for	none	86	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					86d vs 0d		adults (25-42)				28687661	2017	Fig 4D, 4E, 4F,	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/ 				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split row on source	Daniel: added source, edited time point & comparison, edited response agent		peripheral blood mononuclear cell	CL:2000001	T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/Ki67+	cell type frequency	down for	none	86	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					86d vs 0d		adults (25-42)				28687661	2017	Fig 5F, 5H	 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: edited response component (4b is a DC, not an NK cell)	Amani: added source, edited comparison		peripheral blood mononuclear cell	CL:2000001	CD11c-positive DC; plasmacytoid dendritic cell	cell type frequency	up for	none	86	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					86d vs 0d		adults (25-42)				28687661	2017	text, Fig 4B-C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	B cells CD3-/CD19+CD20+	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					14d vs 0d		adults (25-42)				28687661	2017	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	DC HLA-DR+CD11c+	cell type frequency	down for	none	14	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					flavivirus infected vs naive participants		adults (25-42)				28687661	2017	Fig 6a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	DC HLA-DR+CD11c+	cell type frequency	down for	none	28	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					flavivirus infected vs naive participants		adults (25-42)				28687661	2017	Fig 6a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	NK cells NK/CD107a+/K562	cell type frequency	up for	none	28	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					flavivirus infected vs naive participants		adults (25-42)				28687661	2017	Fig 6b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	NK cells NK/TNFa+/K562	cell type frequency	up for	none	86	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					flavivirus infected vs naive participants		adults (25-42)				28687661	2017	Fig 6b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F6/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: unclear how this should be captured, removed subgroup (included in comparison); bhav & amani see edits to comparison and comments	Ernest, Amani: added source		blood serum	UBERON:0001977	TIV-specific CD8+ GRZ+ T lymphocyte cells	cell type frequency	up for		21	days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2012	2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)	VO_0004899					S2 vs S1 as defined by hierarchical clustering of gene expression	60	adults (18-45)				30843873	2019	Fig 4e	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/figure/F4/	Clusters S1 and S2 were defined based on hierarchical clustering of gene expression and were shown to be enriched with significantly different levels of influenza specific MN antibodies as well as vaccination routes for d21/d0.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/	adults	18	45	years	
			daniel: unclear how this should be captured, removed subgroup (included in comparison); bhav & amani see edits to comparison and comments	Ernest, Amani: added source		blood serum	UBERON:0001977	T cell responder TIV-specific CD8+ GRZ+ 	cell type frequency	up for		21	days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2012	2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)	VO_0004899					S2 vs S1 as defined by hierarchical clustering of gene expression. Both clusters d21/d0, where each cluster was enriched for a different vaccination route and different levels of antibody response	60	adults (18-45)				30843873	2019	Fig 3f	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/figure/F3/	Clusters S1 and S2 were defined based on hierarchical clustering of gene expression and were shown to be enriched with significantly different levels of influenza specific MN antibodies as well as vaccination routes for d21/d0.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486343/	adults	18	45	years	C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals
			daniel	Ernest, Amani: re-curated		peripheral blood mononuclear cell	CL:2000001	CD86+ myeloid dendritic cell (DC)	cell type frequency	up for		1	day	time of vaccination (first dose)	Yellow fever virus 17D	11090		YF-17D vaccine	VO_0003134					1d vs 0d	15	adults (18-45)				19029902	2009	Suppl Fig 1c					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/	adults	18	45	years	
			daniel	Ernest, Amani: re-curated		peripheral blood mononuclear cell	CL:2000001	CD86+ myeloid dendritic cell (DC)	cell type frequency	up for		3	days	time of vaccination (first dose)	Yellow fever virus 17D	11090		YF-17D vaccine	VO_0003134					3d vs 1d	15	adults (18-45)				19029902	2009	Suppl Fig 1c					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/	adults	18	45	years	
			daniel	Ernest, Amani: re-curated		peripheral blood mononuclear cell	CL:2000001	CD86+ myeloid dendritic cell (DC); CD86+ monocyte	cell type frequency	up for		3	days	time of vaccination (first dose)	Yellow fever virus 17D	11090		YF-17D vaccine	VO_0003134					3d vs 0d	15	adults (18-45)				19029902	2009	Suppl Fig 1c					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/	adults	18	45	years	
			daniel	Ernest, Amani: re-curated		peripheral blood mononuclear cell	CL:2000001	CD86+ myeloid dendritic cell (DC)	cell type frequency	up for		21	days	time of vaccination (first dose)	Yellow fever virus 17D	11090		YF-17D vaccine	VO_0003134					21d vs 7d	15	adults (18-45)				19029902	2009	Suppl Fig 1c					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/	adults	18	45	years	
			daniel	Ernest, Amani: re-curated		peripheral blood mononuclear cell	CL:2000001	CD86+ plasmacytoid dendritic cell (pDC); CD86+ CD16+ inflammatory monocyte	cell type frequency	up for		7	days	time of vaccination (first dose)	Yellow fever virus 17D	11090		YF-17D vaccine	VO_0003134					7d vs 1d	15	adults (18-45)				19029902	2009	Suppl Fig 1c					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/	adults	18	45	years	
			daniel: removed subgroup ( included in comparison)	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD4+ T cells	cell type frequency	up for		0	days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluarix	VO_0000045					females vs males	135	adults (50-74)				30873150	2019	Fig 4b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/figure/F4/	Caucasion older adults (50-74)			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/	adults, seniors	50	74	years	
			daniel: removed subgroup ( included in comparison)	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	NK cell	cell type frequency	up for		0	days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluarix	VO_0000045					males vs females	135	adults (50-74)				30873150	2019	Fig 4b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/figure/F4/	Caucasion older adults (50-74)			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/	adults, seniors	50	74	years	
			daniel	Ernest, Amani: added source		whole blood	UBERON_0000178	T cells IFNg producing VZV-specific CD4+ 	cell type frequency	up for		72	hours	time of VZV antigen challenge	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					pre-vaccination vs 72hrs post-vaccination	30	adults (70-93)				30247603	2018	Fig 2e	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F2/	-2:1 ratio of female:male			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/	seniors	70	93	years	
			daniel: removed CD4+ Ki67+ because not significant, unmerged rows with different sources	Ernest, Amani: added source, edit comparison & baseline, merged rows of same response behavior type & time points		skin of body	UBERON_0002097	T cells CD4+; T cells CD8+	cell type frequency	up for		3	days	time of VZV antigen challenge	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					pre-vaccination vs 3d post-VZV antigen challenge	30	adults (70-93)				30247603	2018	Fig 3a-c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F3/ 	-2:1 ratio of female:male			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/	seniors	70	93	years	
			daniel: removed CD4+ Ki67+ because not significant, unmerged rows with different sources	Ernest, Amani: added source, edit comparison & baseline, merged rows of same response behavior type & time points		skin of body	UBERON_0002097	T cells CD8+ Ki67+	cell type frequency	up for		3	days	time of VZV antigen challenge	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					pre-vaccination vs 3d post-VZV antigen challenge	30	adults (70-93)				30247603	2018	Fig 4b-c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/	-2:1 ratio of female:male			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/	seniors	70	93	years	
			daniel: removed CD4+ Ki67+ because not significant, unmerged rows with different sources	Ernest, Amani: see D142		skin of body	UBERON_0002097	T cells CD4+; T cells CD8+	cell type frequency	up for		7	days	time of VZV antigen challenge	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					pre-vaccination vs 7d post-VZV antigen challenge	30	adults (70-93)				30247603	2018	Fig 3a-c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F3/ 	-2:1 ratio of female:male			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/	seniors	70	93	years	
			daniel: removed CD4+ Ki67+ because not significant, unmerged rows with different sources	Ernest, Amani: see D142		skin of body	UBERON_0002097	T cells CD8+ Ki67+	cell type frequency	up for		7	days	time of VZV antigen challenge	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					pre-vaccination vs 7d post-VZV antigen challenge	30	adults (70-93)				30247603	2018	Fig 4b-c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/	-2:1 ratio of female:male			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/	seniors	70	93	years	
			daniel	Ernest, Amani: source, edit comparison & baseline		skin of body	UBERON_0002097	T cells CD4+ Tregs Foxp3+	cell type frequency	down for		3	days	time of VZV antigen challenge	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					pre-vaccination vs 3d post-VZV antigen challenge	30	adults (70-93)				30247603	2018	Fig 4e	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/	-2:1 ratio of female:male			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/	seniors	70	93	years	
			daniel	Ernest, Amani: see D144		skin of body	UBERON_0002097	T cells CD4+ Tregs Foxp3+	cell type frequency	down for		7	days	time of VZV antigen challenge	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					pre-vaccination vs 7d post-VZV antigen challenge	30	adults (70-93)				30247603	2018	Fig 4e	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/figure/F4/	-2:1 ratio of female:male			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/	seniors	70	93	years	
			daniel: added subgroup	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD3- CD56dim Natural Killer cells	cell type frequency	up for	high antibody responders	14	days	time of vaccination (first dose)	Human immunodeficiency virus 1 			CN54gp140 	VO_0004891					14d vs 0hr	14	adults (18-45)	GLA-AF			29535712	2018	Fig 4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5834766/figure/F4/	-1 intramuscular dose			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5834766/	adults	18	45	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ 	cell type frequency	up for		30	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					30d vs 0d	25	young adults (25-40)				28607114	2017	Fig 1a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults	25	40	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ 	cell type frequency	up for		30	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					30d vs 0d	33	senior adults (60-80)				28607114	2017	Fig 1a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	seniors	60	80	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ 	cell type frequency	up for		90	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					90d vs 0d	25	young adults (25-40)				28607114	2017	Fig 1a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults	25	40	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ 	cell type frequency	up for		90	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					90d vs 0d	33	senior adults (60-80)				28607114	2017	Fig 1a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	seniors	60	80	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ 	cell type frequency	up for		180	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					180d vs 0d	33	senior adults (60-80)				28607114	2017	Fig 1a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	seniors	60	80	years	
			daniel: edited comparison	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ 	cell type frequency	up for		0	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					young adults vs old adults	58	young adults (25-40), senior adults (60-80)				28607114	2017	Fig 1a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults, seniors	25	80	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ 	cell type frequency	down for		180	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					young adults vs old adults	58	adults (25-80)				28607114	2017	Fig 1a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults, seniors	25	80	years	
			daniel: edited comparison	Ernest, Amani: added source, edit time 		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ IL2+ BCL2+ 	cell type frequency	up for		30	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					30d vs 0d	25	young adults (25-40)				28607114	2017	Fig 1b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults	25	40	years	
			daniel: edited comparison	Ernest, Amani: added source, edit time 		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ IL2+ BCL2+ 	cell type frequency	up for		30	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					30d vs 0d	33	senior adults (60-80)				28607114	2017	Fig 1b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	seniors	60	80	years	
			daniel	Ernest, Ernest, Amani: added source, edit comparison		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ IL2+ BCL2+ 	cell type frequency	down for		180	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					180d vs 0d	25	young adults (25-40)				28607114	2017	Fig 1b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults	25	40	years	
			daniel	Ernest, Amani: added source, edit comparison, deleted row that was not indicated if it was significant		peripheral blood mononuclear cell	CL:2000001	memory T cells VZV-specific CD4+ IL2+ BCL2+ 	cell type frequency	up for		180	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					180d vs 0d	33	senior adults (60-80)				28607114	2017	Fig 1b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	seniors	60	80	years	
			daniel	Ernest, Amani: added source, deleted 2 rows indicated not significant, but marginal in paper		peripheral blood mononuclear cell	CL:2000001	T cells Dual-function VZV-specific CD8+ 	cell type frequency	up for		7	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124	ex-vivo restimulation with live VZV				7d vs 0d	25	young adults (25-40)				28607114	2017	Fig 2b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F2/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults	25	40	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	VZV-specific CD8+ CD69+ CD57+ cells	cell type frequency	up for		0	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124	ex-vivo restimulation with live VZV				old adults vs young adults	58	adults (25-80)				28607114	2017	Fig 3a-b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults, seniors	25	80	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	VZV-specific CD8+ CD69+ PD1+ cells	cell type frequency	up for		0	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124	ex-vivo restimulation with live VZV				old adults vs young adults	58	adults (25-80)				28607114	2017	Fig 3a-b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults, seniors	25	80	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	VZV-specific CD8+ CD69+ CD57+ cells	cell type frequency	up for		7	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124	ex-vivo restimulation with live VZV				old adults vs young adults	58	adults (25-80)				28607114	2017	Fig 3b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults, seniors	25	80	years	
			daniel	Ernest, Amani: added source		peripheral blood mononuclear cell	CL:2000001	VZV-specific CD8+ CD69+ CD57+ cells	cell type frequency	up for		30	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124	ex-vivo restimulation with live VZV				old adults vs young adults	58	adults (25-80)				28607114	2017	Fig 3b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	adults, seniors	25	80	years	
			daniel: changed behavior from 'up' to 'negative'	Ernest, Amani: edited resp behavior. added source, subgroup		peripheral blood mononuclear cell	CL:2000001	VZV-specific CD4+ CD69+ CD57+ PD1+ cells	cell type frequency	negatively correlated with 	older adults	30	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124	ex-vivo restimulation with live VZV				gain in VZV-specific RCF post-vaccination at 30d vs 0d	33	senior adults (60-80)				28607114	2017	Fig 4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	seniors	60	80	years	
			daniel: changed response from 'positive' to 'negative'	Ernest, Amani: edited resp behavior. added source, subgroup		peripheral blood mononuclear cell	CL:2000001	cytotoxic T lymphocytes VZV-specific CD8+ IFNg+ CD107a+ 	cell type frequency	correlated with 	older adults	7	days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124	ex-vivo restimulation with live VZV				decrease in VZV-specific CD8+CD69+CD57+PD1+ at 7d vs 0d	33	senior adults (60-80)				28607114	2017	Fig 4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/	seniors	60	80	years	
			.	Ernest, Daniel: added source		whole blood	UBERON_0000178	neutrophil; monocyte	cell type frequency	up for		1	day	time of vaccination (first dose)	Influenza A virus (A/Indonesia/5/2005(H5N1))		2005mv	inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine	VO_0004903					1d vs 0d	20	adults (18-49)	AS03 (VO_0001320)			28099485	2017	Fig A212-213 and Tables A161-A162 in S2 Text	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/#pone.0167488.s012	-taken subcutaneous			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/	adults	18	49	years	
			.	Ernest, Daniel: added source		whole blood	UBERON_0000178	monocyte; dendritic cell	cell type frequency	up for		3	days	time of vaccination (first dose)	Influenza A virus (A/Indonesia/5/2005(H5N1))		2005mv	inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine	VO_0004903					3d vs 0d	20	adults (18-49)	AS03 (VO_0001320)			28099485	2017	Fig A212-213 and Tables A161-A162 in S2 Text	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/#pone.0167488.s012	-taken subcutaneous			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/	adults	18	49	years	
			daniel	Ernest, Amani: add source, resp components, merged rows		whole blood	UBERON_0000178	CD16+ HLA-DR++ CD14+ monocytes; CD69+ CD19+ B-cells; CXCR4+ CD8+ T-cells; CD69+ CD8+ T-cells; CCR5+ CD4+ T-cells; CD54+ CD4+ T-cells; CD69+ CD4+ T-cells	cell type frequency	up for		3	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		2009mv	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	VO_0000160					3d vs 0d	20	adults (21-51)				28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel: added HLA-DR+ CD8+ T Cells	Ernest, Amani: add source, resp components, merged rows		whole blood	UBERON_0000178	CD16+ CD56+ CD3- Natural Killer cells; CD16+ CD56+ CD3+ Natural Killer cells; HLA-DR+ CD4+ T-cells; HLA-DR+ CD8+ T-cells	cell type frequency	down for		3	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		2009mv	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	VO_0000160					3d vs 0d	20	adults (21-51)				28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
			daniel	Ernest, Amani: add source, resp components, merged rows		whole blood	UBERON_0000178	CD69+ CD19+ B-cells; CCR3+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR4+ CD8+ T-cells	cell type frequency	up for		7	days	time of vaccination (first dose)	Influenza A virus (A/California/7/2009(H1N1))		2009mv	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	VO_0000160					7d vs 0d	20	adults (21-51)				28549970	2017	Fig 2: grey bars	https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2	-taken subcutaneous			https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub	adults	21	51	years	
