	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Amani	Simranpreet		COVID-19 patients in Kunming, China	3.5	69	years	18	Peripheral Blood Mononuclear Cells		RNA-seq; DESeq2	CP, STX7, P2RX7, SH2D3C, BLNK, FKBP5, SPECC1L, ERLIN1, ABI3, UNC93B1, TREML2, CISH, DOK1, KBTBD7, FLT3, LAX1, BHLHE41, SLC36A1, MED20, PLGLB2, TNFSF14, MKKS, S1PR4, FAM78A, FGD3, KLHDC7B, EPSTI1, EPHB2, GIMAP6, CD180, RSAD2, CMPK2, TMEM60, RNASEL, ITM2C, DPM2, SIT1, PPIL1, IRF4, RNF144B, TLR2, BUD13, CALHM2, SMARCAL1, SEPTIN11, DUSP6, PTRH2, TRPM2, MOB3C, FCRL5, GTL, MEIS1, FAM50B, FGD2, ZC3HAV1L, LCN2, NACC2, NRBF2, POLR3A, PCDC11, ST14, ZC3H12C, CDC42EP2, VIPAS39, RPP38, MARVELD1, PPEF2, MEGF11, RGS12, CCDC17, FNDC5, VAV2, IL6R, LY6E, CCR5, FBXL13, C1orf74, DENND2D, TNFAIP8L2, SLC22A15, CCR1, CFAP100, SGMS2, MON1A, SHROOM1, NCF1C, SPRED1, IFI27, PLD4, TRIM66, TEF, DOLPP1, LAIR1, FADD, CX3CR1, RGS14, YWHAG, MZB1, POLH, PAQR8, PHR2, GIMAP8, SHCBP1, ZDHHC16, FRMD3, EGFL7, RXFP4, HSPA6, TRIB1, CYB561D1, CMKLR1, KCTD13, B3GNT8, IL17RA, CHID1, SLC25A20, PARP10, THBD, GIMAP7, SNX18, CXCR2, BHLHA15, DLSTP1, FRAT2, SLC35C1, NCF1B, PDSS1P1, TMEM121B, FANCF, GAS6, TANGO2, SEMA4B, MUC6, PGBD2, ZNF74, C16orf54, KLHDC8B, RXRA, SOWAHD, SLX4, IL1RAP, ATP2A1, ZKSCAN7, HBG2, MYO18A, BORCS6, FAM177B, KLHL14, INKA2, GPAA1, TOR4A, ZNF544, PHETA1, TMA16, WDHD1, ATL1, TRIM27, DHX16, SDHAF1, ITPRIPL2, IGLV1-44, IGLV4-69, IGLV1-51, IGLV1-47, IGLV7-43, IGLV1-40, IGLV3-25, IGLV3-21, IGLV3-19, IGLV3-10, IGLV3-1, IGHG3, IGHD, IGHG1, IGHV6-1, IGHV2-5, IGHV1-3, IGHV3-11, IGHV3-21, IGHV2-26, IGHV4-34, IGHV4-39, IGHV3-48, IGHV3-49, IGHV5-51, IGHV3-73, GIMAP1, LPAL2, CEBPD, OR2A1, ATP5PBP1, IGHV4-59, TGIF2P1, HGH1, AC002543.1, TMEM250, CCR12P, TXNDC5, IGKV3-20, IGKV2-24, IGKV3-11, PLEKHO2, IGKV1-33, IGKV2D-29, IGKV1-12, TICAM2, APOBEC3D, IGKV2-28, IGKV3-15, IGKV1-27, AC139495.2, IGKV1D-39, IGKV2-29, TYRO3P, BOP1, IGHV3-30, IGHV2-70, ZNF2, PRAG1, IGKV1D-13, AC008895.1, IGHV7-4-1, IGHV1-69D, AC025048.6, EPB41-AS-1, ERICH1-AS-2, ERICH1-AS-3, ETS1-AS-2, FGD3-AS-1, FGL2-AS-1, FLI1-AS-3, GSAP-AS-3, IFI16-AS-1, IKBKE-AS-1, IKZF1-AS-3, IRS2-AS-1, LIMD1-AS-1, LINC-ACTBL2-6, LINC-AC253572.1-2, LINC-AMPH-1, LINC-ANKRD20A4-23, LINC-CCDC69-2, LINC-CD47-1, LINC-CHST15-3, LINC-IFI16-1, LINC-LAX1-1, LINC-NUTM2F-3, LINC-TMEM121-17, LINC-TMEM121-18, LINC-TMEM64-3, LINC-UBE2D2-2, LINC-ZNF638-2, MBP-AS-2, NFYC-AS-1, PCED1B-AS-3, PCED1B-AS-4, PID1-AS-1, PIK3CD-AS-3, PREX1-AS-1, PREX1-AS-3, PRKCB-AS-7, PRR5L-AS-2, PRR5L-AS-3, PTAFR-AS-1, PYHIN1-AS-1, RBM6-AS-3, RIPOR2-AS-3, RNF213-AS-1, SAMHD1-AS-6, SCML4-AS-1, SEMA4D-AS-2, SEPTIN9-AS-3, SEPTIN9-AS-7, SNTB1-AS-2, ST6GAL1-AS-4, ST6GAL1-AS-1, STK10-AS-1, TLR5-AS-1, TRAF3IP3-AS-2, VIPR1-AS-1, ZHX2-AS-2, AC019117.4-AS-1, AC119396.1-AS-3, AHNAK-AS-3, ALKBH3-AS-2, ANXA6-AS-1, ANKRD55-AS-1, APOL1-AS-1, ARID5B-AS-4, BACH1-AS-6, CAMK2D-AS-1, CCDC88C-AS-1, CD48-AS-1, CREBRF-AS-2, CXXC5-AS-2, DGKD-AS-3, DLGAP1-AS-9, DNMBP-AS-1, DPSYL2-AS-1, CD38, FAM214B, EEF1AKNMT, STAB1, CC2D2A, FAM160A2, COL17A1, TNFRSF1A, SPTB, ZNF532, RARB, EXOSC5, CEACAM1, ARG2, NFE2L1, ZNF213, COQ9, OAS1, AARS1, ZC3HC1, TBC1D2, TIMM13, TTC28, PCK2, MTG2, ZMYND8, POFUT1, TSC22D1, NIPAL2, LILRB1, LYL1, OLFM2, DYRK1B, GRWD1, SNX8, LARP4B, MINPP1, TSPAN14, AKAP10, VDR, CCND3, FBRSL1, GNPDA1, PDGFRB, FRMD4B, NEK4, OTOF, FN1, DHCR24, EDEM3, NID1, KMO, CENPF, B4GALT6, YIPF4		gene expression	down	rehabilitation stage (stage 3) vs treatment stage (stage 1)	time since hospital admission	0 to 31; 58 to 75	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33361761	(2020-12-24)	https://www.nature.com/articles/s41392-020-00457-4/	Suppl. Dataset 1.	https://www.nature.com/articles/s41392-020-00457-4#Sec18/	-includes lncRNA, protein coding, miscRNA, snRNA, snoRNA, gene, Mt tRNA, Mt rRNA, ribozyme, etc (see Class column)	
	Amani	Simranpreet		COVID-19 patients in Kunming, China	3.5	69	years	18	Peripheral Blood Mononuclear Cells		RNA-seq; DESeq2.	OSM, MAP3K8, HSP90AB1, PPP1R16B		gene expression	up	rehabilitation & convalescence stages vs treatment stage: moderate COVID-19 patients vs mild COVID-19 patients 	time since hospital admission	0 to 75	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33361761	(2020-12-24)	https://www.nature.com/articles/s41392-020-00457-4/	Fig S4.	https://www.nature.com/articles/s41392-020-00457-4#Sec18/	Start with DEGs of Recovery from COVID-19 (rehabilitation & convalescence stages vs treatment stage). Then selected DEGs of those DEGs between 3 clinical types. Color of the gene in the figure "reflects the slope of the linear regression equation of Log2 fold change during recovery from COVID-19, and the shape reflects the comparison between which 2 groups [of the clinical types] it came from"	
	Amani	Simranpreet		COVID-19 patients in Kunming, China	3.5	69	years	18	Peripheral Blood Mononuclear Cells		RNA-seq; DESeq2.	GAS6		gene expression	down	rehabilitation & convalescence stages vs treatment stage: moderate COVID-19 patients vs mild COVID-19 patients 	time since hospital admission	0 to 75	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33361761	(2020-12-24)	https://www.nature.com/articles/s41392-020-00457-4/	Fig S4.	https://www.nature.com/articles/s41392-020-00457-4#Sec18/	Start with DEGs of Recovery from COVID-19 (rehabilitation & convalescence stages vs treatment stage). Then selected DEGs of those DEGs between 3 clinical types. Color of the gene in the figure "reflects the slope of the linear regression equation of Log2 fold change during recovery from COVID-19, and the shape reflects the comparison between which 2 groups [of the clinical types] it came from"	
	Amani	Simranpreet		COVID-19 patients in Kunming, China	3.5	69	years	18	Peripheral Blood Mononuclear Cells		RNA-seq; DESeq2.	CCNT1, PER1, KLF10, NR4A3, ZFBP36L2, LITAF, AREG, TRAF4, DUSP8, CXCR4, CXCL2, PDE4D, DUSP2		gene expression	up	rehabilitation & convalescence stages vs treatment stage: severe COVID-19 patients vs mild COVID-19 patients 	time since hospital admission	0 to 75	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33361761	(2020-12-24)	https://www.nature.com/articles/s41392-020-00457-4/	Fig S4.	https://www.nature.com/articles/s41392-020-00457-4#Sec18/	Start with DEGs of Recovery from COVID-19 (rehabilitation & convalescence stages vs treatment stage). Then selected DEGs of those DEGs between 3 clinical types. Color of the gene in the figure "reflects the slope of the linear regression equation of Log2 fold change during recovery from COVID-19, and the shape reflects the comparison between which 2 groups [of the clinical types] it came from"	
	Amani	Simranpreet		COVID-19 patients in Kunming, China	3.5	69	years	18	Peripheral Blood Mononuclear Cells		RNA-seq; DESeq2.	TNFSF14, SPRED1, DNAJC6		gene expression	down	rehabilitation & convalescence stages vs treatment stage: severe COVID-19 patients vs mild COVID-19 patients 	time since hospital admission	0 to 75	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33361761	(2020-12-24)	https://www.nature.com/articles/s41392-020-00457-4/	Fig S4.	https://www.nature.com/articles/s41392-020-00457-4#Sec18/	Start with DEGs of Recovery from COVID-19 (rehabilitation & convalescence stages vs treatment stage). Then selected DEGs of those DEGs between 3 clinical types. Color of the gene in the figure "reflects the slope of the linear regression equation of Log2 fold change during recovery from COVID-19, and the shape reflects the comparison between which 2 groups [of the clinical types] it came from"	
	Amani	Simranpreet		COVID-19 patients in Kunming, China	3.5	69	years	18	Peripheral Blood Mononuclear Cells		RNA-seq; DESeq2.	XRN1, RPS27A, SRSF10, PER1, ZC3H12A, TRAF4, OSM, CD83, AREG, CCL3L3, PPP1R16B, DUSP2, CXCL2, CFB, DUSP8		gene expression	up	rehabilitation & convalescence stages vs treatment stage: severe COVID-19 patients vs moderate COVID-19 patients 	time since hospital admission	0 to 75	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33361761	(2020-12-24)	https://www.nature.com/articles/s41392-020-00457-4/	Fig S4.	https://www.nature.com/articles/s41392-020-00457-4#Sec18/	Start with DEGs of Recovery from COVID-19 (rehabilitation & convalescence stages vs treatment stage). Then selected DEGs of those DEGs between 3 clinical types. Color of the gene in the figure "reflects the slope of the linear regression equation of Log2 fold change during recovery from COVID-19, and the shape reflects the comparison between which 2 groups [of the clinical types] it came from"	
	Amani	Simranpreet		COVID-19 patients in Kunming, China	3.5	69	years	18	Peripheral Blood Mononuclear Cells		RNA-seq; DESeq2.	TNFSF14, DNAJC6		gene expression	down	rehabilitation & convalescence stages vs treatment stage: severe COVID-19 patients vs moderate COVID-19 patients 	time since hospital admission	0 to 75	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33361761	(2020-12-24)	https://www.nature.com/articles/s41392-020-00457-4/	Fig S4.	https://www.nature.com/articles/s41392-020-00457-4#Sec18/	Start with DEGs of Recovery from COVID-19 (rehabilitation & convalescence stages vs treatment stage). Then selected DEGs of those DEGs between 3 clinical types. Color of the gene in the figure "reflects the slope of the linear regression equation of Log2 fold change during recovery from COVID-19, and the shape reflects the comparison between which 2 groups [of the clinical types] it came from"	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	leukocyte CD45+ cells		immunophenotyping; flow cytometry	neutrophils; eosinophils; neutrophil:T cell (NTR)		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 1A & 1E	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F1.large.jpg	-neutrophil:T cell ratio measured via flow cytometry 	
	Amani	Simranpreet		Philadelphia, PA, USA	29	81	years	34	leukocyte CD45+ cells		immunophenotyping; flow cytometry; CBCs	neutrophils; neutrophil:T cell (NTR); polymorphonuclear leukocytes (PMNs):lymphocyte (NLR)		cell type frequency	up	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 1A & 1E-F	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F1.large.jpg	-neutrophil:T cell ratio measured via flow cytometry & PMN:lymphocyte ratio measured via CBCs	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	leukocyte CD45+ cells		immunophenotyping	Dendritic cells (DC); total T cells; CD4+ T cells; CD8+ T cells; CD8+ mucosal-associated invariant T (MAIT) cells; total Natural Killer (NK) cells; Innate Lymphoid Cells (ILCs)		cell type frequency	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 1A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F1.large.jpg		
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	leukocyte CD45+ cells		immunophenotyping	Dendritic cells (DC); total T cells; CD4+ T cells; CD8+ T cells; total Natural Killer (NK) cells; B cells		cell type frequency	down	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 1A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F1.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	leukocyte CD45+ cells		immunophenotyping	total T cells; CD4+ T cells; CD8+ T cells; total Natural Killer (NK) cells; CD8+ mucosal-associated invariant T (MAIT) cells; Innate Lymphoid Cells (ILCs)		cell type frequency	down	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114/	Fig 1A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F1.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	leukocyte CD45+ cells		immunophenotyping; flow cytometry	neutrophil:T cell (NTR)		cell type frequency	up	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114/	Fig 1A & 1E	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F1.large.jpg	-neutrophil:T cell ratio measured via flow cytometry 	
	Amani	Simranpreet		Philadelphia, PA, USA	29	81	years	34	leukocyte CD45+ cells		Complete Blood Counts (CBCs); Spearman's correlations	neutrophil:T cell (NTR); polymorphonuclear leukocytes (PMNs):lymphocyte (NLR)		cell type frequency	positively correlated	correlated with APACHE III score in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 1G	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F1.large.jpg	-neutrophil:T cell ratio measured via flow cytometry & PMN:lymphocyte ratio measured via CBCs.	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	whole blood		immunophenotyping; flow cytometry	CD27+ CD38+ B cells (B cell plasmablasts)		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	whole blood		immunophenotyping; flow cytometry	CD27+ CD38+ B cells (B cell plasmablasts)		cell type frequency	up	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	whole blood		immunophenotyping; flow cytometry	CD21- CD27- B cells		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2B	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	whole blood		immunophenotyping; flow cytometry	CD21+ CD27+ B cells		cell type frequency	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2B	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	whole blood		immunophenotyping; flow cytometry	CD21+ CD27+ B cells		cell type frequency	down	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2B	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	24	64	years	19	whole blood		immunophenotyping; flow cytometry	CD21- CD27- B cells		cell type frequency	up	moderate COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2B	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	24	64	years	16	CD21- CD27- B cells		ELISA	CD11c+ cells		cell type frequency	down	moderate COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2C	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg	CD11c+ frequency from nonplasmablast B cell subsets that were defined in Fig 2A	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	plasma or serum		ELISA	SARS-CoV-2 spike RBD-specific IgM; SARS-CoV-2 spike RBD-specific IgG		protein/cytokine levels	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2D	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	61	years	19	plasma or serum		ELISA	SARS-CoV-2 spike RBD-specific IgM; SARS-CoV-2 spike RBD-specific IgG		protein/cytokine levels	up	recovered COVID-19 patients vs healthy patients	time since onset of symptoms	17 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2D	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Moderate & Severe COVID-19 patients in Philadelphia, PA, USA	29	81	years	34	plasma or serum		ELISA	SARS-CoV-2 spike RBD-specific IgM; SARS-CoV-2 spike RBD-specific IgG		protein/cytokine levels	positively correlated	correlated with days since onset of symptoms in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 2E	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F2.large.jpg		
	Amani	Simranpreet		Moderate & Severe COVID-19 patients in Philadelphia, PA, USA	29	81	years	34	whole blood		immunophenotyping; flow cytometry	CD27+ CD38+ B cells (B cell plasmablasts)		cell type frequency	positively correlated	correlated with D20 value (top ranked 20 clones)	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 3C	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F3.large.jpg	"D20 rank measure in moderate and severe disease also correlated positively with the plasmablast fraction" (2nd paragraph under "Profound oligoclonal..." section in Results	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	whole blood		immunophenotyping; multiparametric flow cytometry	CD16+ Natural Killer (NK) cells		cell type frequency	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 4A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F4.large.jpg	"Proportion of CD16+ cells in NK cell subset"	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	CD16+ Natural Killer (NK) cells; CD16+ neutrophils; CD16+ immature granulocytes		immunophenotyping; multiparametric flow cytometry; MFI	CD16		protein/cytokine levels	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 4B-C, 4E	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F4.large.jpg	"MFI of CD16 on neutrophil,...NK cell, and immature granulocyte subsets. MFI was calculated within CD16+ cells."	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	monocytes		immunophenotyping; multiparametric flow cytometry; MFI	HLA-DR		protein/cytokine levels	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 4G	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F4.large.jpg	"MFI of HLA-DR on monocytes"	
	Amani	Simranpreet		Moderate & Severe COVID-19 patients in Philadelphia, PA, USA	29	81	years	34	monocytes		immunophenotyping; multiparametric flow cytometry; MFI	HLA-DR		protein/cytokine levels	down	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 4G	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F4.large.jpg	"MFI of HLA-DR on monocytes"	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	34	whole blood		immunophenotyping; multiparametric flow cytometry	CD38+ memory CD4+ T cells; HLA-DR+ CD38+ memory CD4+ T cells; PD-1+ memory CD4+ T cells		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	whole blood		immunophenotyping; multiparametric flow cytometry	HLA-DR+ CD38+ memory CD4+ T cells		cell type frequency	up	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5A	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Moderate & Severe COVID-19 patients in Philadelphia, PA, USA	29	81	years	34	whole blood		immunophenotyping; multiparametric flow cytometry; Spearman's correlations	HLA-DR+ CD38+ memory CD4+ T cells; HLA-DR+ CD38+ memory CD8+ T cells		cell type frequency	positively correlated	correlated with percent of plasmablasts in severe & moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5C	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg	percent of HLA-DR+ CD38+ memory CD4+ T cells & percent HLA-DR+ CD38+ memory CD8+ T cells	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	34	whole blood		immunophenotyping; multiparametric flow cytometry	HLA-DR+ CD38+ CD8+ mucosal-associated invariant T (MAIT) cells 		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5D	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	24	64	years	19	whole blood		immunophenotyping; multiparametric flow cytometry	HLA-DR+ CD38+ CD8+ mucosal-associated invariant T (MAIT) cells 		cell type frequency	up	moderate COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5D	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	34	whole blood		immunophenotyping; multiparametric flow cytometry	CD38+ memory CD8+ T cells; HLA-DR+ CD38+ memory CD8+ T cells		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5B	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	21	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; multiparametric flow cytometry	Perf+ Granz B+ cytotoxic memory CD8+ T cells		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5E	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
