""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"leukocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused either by bacterial infection (with sepsis) or by SARS-CoV-2 (Athens, Greece)"	"48.9"	"91.6"	"years"	"74"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"clinical laboratory test"	"white blood cells"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with no respiratory failure vs bacterial CAP patients with no respiratory failure"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Table 1"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000738"	""	""	"leukocyte"	"1"	"1"	"32320677_1_977"
""	"leukocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused either by bacterial infection (with sepsis) or by SARS-CoV-2 (Athens, Greece)"	"57"	"86.6"	"years"	"84"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"clinical laboratory test"	"white blood cells"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with severe respiratory failure vs bacterial CAP patients with severe respiratory failure"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Table 1"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000738"	""	""	"leukocyte"	"1"	"1"	"32320677_2_978"
""	"neutrophil"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"47"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"Neutrophils"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with immune dysregulation vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 1E"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000775"	""	""	"neutrophil"	"1"	"1"	"32320677_3_993"
""	"monocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"33"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"Monocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 1F"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000576"	""	""	"monocyte"	"1"	"1"	"32320677_4_994"
""	"monocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"Monocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs SARS-CoV-2 CAP patients with immune dysregulation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 1F"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000576"	""	""	"monocyte"	"1"	"1"	"32320677_5_995"
""	"natural killer cell (CD3+,CD4+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"19"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD4+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with intermediate immune activation vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2A"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD4+,CD45+)"	"PR:000001020,PR:000001004,PR:000001006"	"natural killer cell (CD3+,CD4+,CD45+)"	"1"	"1"	"32320677_6_996"
""	"natural killer cell (CD3+,CD8+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"19"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD8+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with intermediate immune activation vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2B"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD8+,CD45+)"	"PR:000001020,PR:000001084,PR:000001006"	"natural killer cell (CD3+,CD8+,CD45+)"	"1"	"1"	"32320677_7_997"
""	"natural killer cell (CD19+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"19"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD19+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with intermediate immune activation vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2E"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD19+,CD45+)"	"PR:000001002,PR:000001006"	"natural killer cell (CD19+,CD45+)"	"1"	"1"	"32320677_8_998"
""	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"19"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD16+ CD56+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with intermediate immune activation vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2D"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3-,CD16+,CD56+,CD45+)"	"PR:000001020,PR:000001483,PR:000001024,PR:000001006"	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"1"	"1"	"32320677_9_999"
""	"natural killer cell (CD3+,CD4+,CD45+); natural killer cell (CD3+,CD8+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"24"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD4+ CD45+ lymphocytes; CD3+ CD8+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with immune dysregulation vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2A"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD4+,CD45+); (CD3+,CD8+,CD45+)"	"PR:000001020,PR:000001004,PR:000001006; PR:000001020,PR:000001084,PR:000001006"	"natural killer cell (CD3+,CD4+,CD45+); natural killer cell (CD3+,CD8+,CD45+)"	"2"	"2"	"32320677_10_1000"
""	"natural killer cell (CD3+,CD4+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"13"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD4+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2A"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD4+,CD45+)"	"PR:000001020,PR:000001004,PR:000001006"	"natural killer cell (CD3+,CD4+,CD45+)"	"1"	"1"	"32320677_11_1001"
""	"natural killer cell (CD3+,CD8+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"13"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD8+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2B"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD8+,CD45+)"	"PR:000001020,PR:000001084,PR:000001006"	"natural killer cell (CD3+,CD8+,CD45+)"	"1"	"1"	"32320677_12_1002"
""	"natural killer cell (CD19+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection and healthy controls (Athens, Greece)"	"48.9"	"78.6"	"years"	"13"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD19+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs healthy controls"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2E"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD19+,CD45+)"	"PR:000001002,PR:000001006"	"natural killer cell (CD19+,CD45+)"	"1"	"1"	"32320677_13_1003"
""	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"24"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD16+ CD56+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2D"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3-,CD16+,CD56+,CD45+)"	"PR:000001020,PR:000001483,PR:000001024,PR:000001006"	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"1"	"1"	"32320677_14_1004"
""	"natural killer cell (CD19+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"24"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD19+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2E"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD19+,CD45+)"	"PR:000001002,PR:000001006"	"natural killer cell (CD19+,CD45+)"	"1"	"1"	"32320677_15_1005"
""	"natural killer cell (CD3+,CD4+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"45"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD4+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with immune dysregulation vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2A"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD4+,CD45+)"	"PR:000001020,PR:000001004,PR:000001006"	"natural killer cell (CD3+,CD4+,CD45+)"	"1"	"1"	"32320677_16_1006"
""	"natural killer cell (CD3+,CD8+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"45"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD8+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with immune dysregulation vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2B"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD8+,CD45+)"	"PR:000001020,PR:000001084,PR:000001006"	"natural killer cell (CD3+,CD8+,CD45+)"	"1"	"1"	"32320677_17_1007"
""	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"45"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD16+ CD56+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with immune dysregulation vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2D"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3-,CD16+,CD56+,CD45+)"	"PR:000001020,PR:000001483,PR:000001024,PR:000001006"	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"1"	"1"	"32320677_18_1008"
""	"natural killer cell (CD19+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"45"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD19+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with immune dysregulation vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2E"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD19+,CD45+)"	"PR:000001002,PR:000001006"	"natural killer cell (CD19+,CD45+)"	"1"	"1"	"32320677_19_1009"
""	"natural killer cell (CD3+,CD4+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"30"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD4+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with intermediate immune activation vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2A"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD4+,CD45+)"	"PR:000001020,PR:000001004,PR:000001006"	"natural killer cell (CD3+,CD4+,CD45+)"	"1"	"1"	"32320677_20_1010"
""	"natural killer cell (CD3+,CD4+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"23"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD4+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with immune dysregulation vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2A"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD4+,CD45+)"	"PR:000001020,PR:000001004,PR:000001006"	"natural killer cell (CD3+,CD4+,CD45+)"	"1"	"1"	"32320677_21_1011"
""	"natural killer cell (CD3+,CD8+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"23"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD8+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with immune dysregulation vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2B"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD8+,CD45+)"	"PR:000001020,PR:000001084,PR:000001006"	"natural killer cell (CD3+,CD8+,CD45+)"	"1"	"1"	"32320677_22_1012"
""	"natural killer cell (CD3+,CD8+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"12"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD8+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2B"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD8+,CD45+)"	"PR:000001020,PR:000001084,PR:000001006"	"natural killer cell (CD3+,CD8+,CD45+)"	"1"	"1"	"32320677_23_1013"
""	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"30"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD16+ CD56+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with intermediate immune activation vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2D"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3-,CD16+,CD56+,CD45+)"	"PR:000001020,PR:000001483,PR:000001024,PR:000001006"	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"1"	"1"	"32320677_24_1014"
""	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"23"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD16+ CD56+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with immune dysregulation vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2D"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3-,CD16+,CD56+,CD45+)"	"PR:000001020,PR:000001483,PR:000001024,PR:000001006"	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"1"	"1"	"32320677_25_1015"
""	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"12"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD16+ CD56+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2D"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3-,CD16+,CD56+,CD45+)"	"PR:000001020,PR:000001483,PR:000001024,PR:000001006"	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"1"	"1"	"32320677_26_1016"
""	"natural killer cell (CD19+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"48.9"	"78.6"	"years"	"30"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD19+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with intermediate immune activation vs 2009 H1N1 CAP patients"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2E"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD19+,CD45+)"	"PR:000001002,PR:000001006"	"natural killer cell (CD19+,CD45+)"	"1"	"1"	"32320677_27_1017"
""	"natural killer cell (CD19+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"12"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD19+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with macrophage-activation syndrome vs SARS-CoV-2 CAP patients with intermediate immune activation"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2E"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD19+,CD45+)"	"PR:000001002,PR:000001006"	"natural killer cell (CD19+,CD45+)"	"1"	"1"	"32320677_28_1018"
""	"natural killer cell (CD3+,CD4+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"57"	"78.6"	"years"	"21"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CD4+ CD45+ lymphocytes"	""	"cell-type frequency"	"down"	"SARS-CoV-2 CAP patients with severe respiratory failure vs 2009 H1N1 CAP patients with severe respiratory failure"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2F"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3+,CD4+,CD45+)"	"PR:000001020,PR:000001004,PR:000001006"	"natural killer cell (CD3+,CD4+,CD45+)"	"1"	"1"	"32320677_29_1019"
""	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"57"	"78.6"	"years"	"21"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3- CD16+ CD56+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with severe respiratory failure vs 2009 H1N1 CAP patients with severe respiratory failure"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2I"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD3-,CD16+,CD56+,CD45+)"	"PR:000001020,PR:000001483,PR:000001024,PR:000001006"	"natural killer cell (CD3-,CD16+,CD56+,CD45+)"	"1"	"1"	"32320677_30_1020"
